coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Shock Wave (Six Flags Over Texas),"3,600 ft ",60 mph,Six Flags Over Texas,Operating,1978,Steel,Anton Schwarzkopf,Custom Looping Coaster,116 ft,2,Chain lift hill,,7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Tower,2:00,,5.9,Werner Stengel,,,60 mph ,97 km/h,60,mph,60,116,ft,,2,5.9
Tennessee Tornado,"2,682 ft",63 mph,Dollywood,Operating,1999,Steel,Arrow Dynamics,Custom Looping Coaster,163 ft ,3,Chain lift hill,"$8,000,000 USD($12.4Â million in 2020 dollars[1])",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Craftsmen's Valley,1:48,"1,360 riders per hour",3.7,Alan Schilke,,128Â ft (39Â m),63 mph ,101 km/h,63,mph,63,163,ft,,3,3.7
Anaconda (roller coaster),"2,700 ft",50 mph,Kings Dominion,Operating,1991,Steel,Arrow Dynamics,Custom Looping Coaster,128 ft,4,Chain lift hill,"$5,000,000[1]",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Jungle X-Pedition,1:50,"1,400 riders per hour",5.1,Ron Toomer,,144Â ft (44Â m),50 mph ,80 km/h,50,mph,50,128,ft,,4,5.1
Corkscrew (Cedar Point),"2,050 ft",48 mph,Cedar Point,Operating,1976,Steel,Arrow Development,Custom Looping Coaster,85 ft,3,,"$1,750,000 USD",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Gemini Midway,2:00,"1,800 riders per hour",,Ron Toomer,45Â°,65Â ft (20Â m),48 mph ,77 km/h,48,mph,48,85,ft,,3,
Demon (roller coaster),"2,130 ft",50 mph,Six Flags Great America,Operating,1979,Steel,Arrow Dynamics,Custom Looping Coaster,102 ft,4,Chain lift hill,,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:45,1300 riders per hour,,,54Â°,90Â ft (27Â m),50 mph ,80 km/h,50,mph,50,102,ft,,4,
Dragon Mountain,"5,500 ft ",50 mph,Marineland of Canada,Operating,1983,Steel,Arrow Huss,Custom Looping Coaster,186 ft ,4,Chain lift hill,CA$9 million[1],3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,3:30,,,Ron Toomer,,,50 mph ,80 km/h,50,mph,50,186,ft,,4,
Loch Ness Monster (roller coaster),"3,240 ft ",60 mph,Busch Gardens Williamsburg,Operating,1978,Steel,Arrow Development,Custom Looping Coaster,130 ft,2,Two chain lift hills,"$5,000,000[1]",,Scotland,2:10,800 riders per hour,3.5,Ron Toomer,55Â°,114Â ft (35Â m),60 mph ,97 km/h,60,mph,60,130,ft,,2,3.5
Viper (Six Flags Magic Mountain),"3,830 ft",70 mph,Six Flags Magic Mountain,Operating,1990,Steel,Arrow Dynamics,Custom Looping Coaster,188 ft ,7,Chain lift hill,"$8,000,000 USD",3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Baja Ridge,2:30,1700 riders per hour,4.1,Ron Toomer[1],55Â°,171Â ft (52Â m),70 mph ,110 km/h,70,mph,70,188,ft,,7,4.1
Ninja (Six Flags St. Louis),"2,430 ft ",54.7 mph,Six Flags St. Louis,Operating,1989,Steel,Vekoma,Custom MK-1200,108.3 ft,4,,,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Studio Backlot,2:00,,,Ron Toomer,,80Â ft (24Â m),54.7 mph ,88.0 km/h,54.7,mph,54.7,108.3,ft,,4,
The Millennium,"2,736 ft",56 mph,Fantasy Island (UK amusement park),Operating,1999,Steel,Vekoma,Custom MK-1200,150 ft,3,Chain Lift Hill,"Â£15,000,000",Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:40,450 riders per hour,,,,110Â ft (34Â m),56 mph ,90 km/h,56,mph,56,150,ft,,3,
Crazy Bats,"3,851.7 ft ",28.9 mph,Phantasialand,Operating,1988,Steel Enclosed,Vekoma,Custom MK-900,38.4 ft,,,,4 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Wuze Town,4:00,1600 riders per hour,,Werner Stengel,,,28.9 mph ,46.5 km/h,28.9,mph,28.9,38.4,ft,,0,
Vogel Rok,"2,296 ft",40 mph ,Efteling,Operating,1998,Steel Enclosed,Vekoma,Custom MK-900,82 ft ,0,tyre-driven lift-hill,â‚¬ 12 million,,Reizenrijk,101 seconds,1600 riders per hour,3.5,Ton van de Ven,,62Â ft (19Â m),40 mph ,64 km/h,40,mph,40,82,ft,,0,3.5
Colorado Adventure,"4,199 ft",31.1 mph,Phantasialand,Operating,1996,Steel Mine Train,Vekoma,Custom MK-900 M,85 ft,,,,,Mexico,2:55,"2,300 riders per hour",,,,,31.1 mph ,50.1 km/h,31.1,mph,31.1,85,ft,,0,
Mammut (roller coaster),"3,379.3 ft",31.1 mph,Gardaland,Operating,2008,Steel Mine Train,Vekoma,Custom MK-900 M,45.11 ft,0,Chain lift hill,,,,2:45,,,,,,31.1 mph ,50.1 km/h,31.1,mph,31.1,45.11,ft,,0,
Dr. Diabolicals Cliffhanger,"2,501 ft",60 mph,Six Flags Fiesta Texas,Operating,2022,Steel,Bolliger & Mabillard,Dive Coaster,150 ft,2,Chain lift hill,,3 trains with 3 cars. Riders are arranged 7 across in a single row for a total of 21 riders per train.,Crackaxle Canyon,,,,,95Â°,142Â ft (43Â m),60 mph ,97 km/h,60,mph,60,150,ft,,2,
Emperor (roller coaster),"2,411 ft",63 mph,SeaWorld San Diego,Operating,2023,Steel,Bolliger & Mabillard,Dive Coaster,153 ft ,4,Cliffhanger,,2 trains with a single car. Riders are arranged 6 across in 3 rows for a total of 18 riders per train.,Emperor Pavilion (East),1:10,~700 riders per hour (Estimated) riders per hour,,Bolliger & Mabillard,90Â°,143Â ft (44Â m),63 mph ,101 km/h,63,mph,63,153,ft,,4,
Griffon (roller coaster),"3,108 ft ",71 mph,Busch Gardens Williamsburg,Operating,2007,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,205 ft,2,Chain lift,"$15,600,000 USD",3 trains with 3 cars. Riders are arranged 10 across in a single row for a total of 30 riders per train.,Aquitaine (France),3:00,"1,400 riders per hour",4,,90Â°,205Â ft (62Â m),71 mph ,114 km/h,71,mph,71,205,ft,,2,4
Oblivion: The Black Hole,"1,856.9 ft",62.2 mph ,Gardaland,Operating,2015,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,139.4 ft,2,Chain lift hill,,3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,Space Section,,1890 riders per hour,,,87Â°,,62.2 mph ,100.1 km/h,62.2,mph,62.2,139.4,ft,,2,
SheiKra,"3,188 ft",70 mph,Busch Gardens Tampa Bay,Operating,2005,Steel,Bolliger & Mabillard,Dive Coaster,200 ft,1,Chain lift hill,$13.5 million,3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Stanleyville,2:20,,4[1],,90Â°,,70 mph ,110 km/h,70,mph,70,200,ft,,1,4
