coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Outlaw Run,"2,937 ft",68 mph,Silver Dollar City,Operating,2013,Wood,Rocky Mountain Construction,Topper Track - Custom,107 ft,3,Chain lift hill,US$10 million($11.1Â million in 2020 dollars[1]),2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,The Great Barn at Wilson's Farm,1:27,,,Alan Schilke,81Â°,162Â ft (49Â m),68 mph ,109 km/h,68,mph,68,107,ft,,3,
Wicked (roller coaster),"2,050.5 ft",55 mph,Lagoon Amusement Park,Operating,2007,Steel Launched,Zierer,Tower Launch Coaster,110 ft,1,Two LSM launches,$10 million,a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,South Midway,1:46,900 riders per hour,4.8,Werner Stengel,90Â°,,55 mph ,89 km/h,55,mph,55,110,ft,,1,4.8
Impulse (roller coaster),"1,975 ft",55 mph,Knoebels Amusement Resort,Operating,2015,Steel,Zierer,Tower Speed Coaster,98 ft ,4,Vertical chain lift hill,,"3 separate cars with 8 riders each, seated in 2 rows of 4 across",,1:20,,,,90Â°,,55 mph ,89 km/h,55,mph,55,98,ft,,4,
Possessed (roller coaster),704 ft,70 mph,Dorney Park & Wildwater Kingdom,Operating,2008,Steel Inverted Launched,Intamin,Twisted Impulse Coaster,180 ft ,0,LIM launch,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,950 riders per hour,3.7,Werner Stengel,90Â°,,70 mph ,110 km/h,70,mph,70,180,ft,,0,3.7
Steel Venom (Valleyfair),630 ft (190 m),68 mph,Valleyfair,Operating,2003,Steel Inverted Launched,Intamin,Twisted Impulse Coaster,185 ft ,0,LIM Launch Track,"$8,500,000 USD",Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,950 riders per hour,,,90Â°,175Â ft (53Â m),68 mph ,109 km/h,68,mph,68,185,ft,,0,
Giant Dipper (Belmont Park),"2,600 ft ",48 mph,Belmont Park,Operating,1925,Wood,"Frank Prior, Fredrick Church",Twister,70 ft,0,Chain lift hill,,,,1:45,,,"Frank Prior, Fredrick Church",40 degrees at bottom of first dropÂ°,60Â ft (18Â m),48 mph ,77 km/h,48,mph,48,70,ft,,0,
Kentucky Rumbler,"2,827 ft ",47 mph,Beech Bend Park,Operating,2006,Wood Twister,Great Coasters International,Twister,96 ft ,0,,"$4,600,000 ",Single train with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,480 riders per hour,,,,80Â ft (24Â m),47 mph ,76 km/h,47,mph,47,96,ft,,0,
Ragin' Cajun (roller coaster),"1,377.9 ft",29.1 mph,Six Flags America,Operating,2014,Steel Wild Mouse Spinning,Zamperla,Twister Coaster 420STD,42.7 ft ,0,Chain lift hill,,9 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,,1:30,900 riders per hour,2.5,,,,29.1 mph ,46.8 km/h,29.1,mph,29.1,42.7,ft,,0,2.5
Wild Mouse (Beech Bend Park),"1,377.9 ft",29.1 mph,Beech Bend Park,Operating,2005,Steel Wild Mouse,Zamperla,Twister Coaster 420STD,42.7 ft ,0,,,4 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,,1:30,900 riders per hour,2.5,,,,29.1 mph ,46.8 km/h,29.1,mph,29.1,42.7,ft,,0,2.5
Hornet (roller coaster),"1,148 ft",,Wonderland Park (Texas),Operating,2009,Steel Enclosed,Vekoma,Twister,28 ft ,0,Chain lift hill,,,Oriental Corner,1:30,,,,,,,,,,,28,ft,,0,
Wooden Roller Coaster (Playland),"2,840 ft",50 mph,Playland,Operating,1958,Wood,,Twister,75 ft ,0,Chain lift hill,"$200,000 ",2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,,,"Carl Phare, Walker LeRoy",,67Â ft (20Â m),80 km/h ,50 mph,80,km/h,49.7,75,ft,,0,
Soarin' Eagle,"1,282.8 ft",25.7 mph,Luna Park - Coney Island,Operating,2011,Steel Flying,Zamperla,Volare,50 ft ,2,Spiral Lift,,7 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Scream Zone,0:48,500 riders per hour,3.3,Werner Stengel,31Â°,17Â ft (5.2Â m),25.7 mph ,41.4 km/h,25.7,mph,25.7,50,ft,,2,3.3
Krampus Expedition,"1,968.5 ft",49 mph,Nigloland,Operating,2021,Steel,Mack Rides,Water Coaster,91.9 ft ,0,Chain lift hill,"â‚¬12,000,000",6 trains with a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,The Swiss Village,4:00,850 riders per hour,3.5,,,,49 mph ,79 km/h,49,mph,49,91.9,ft,,0,3.5
Bocaraca,"1,148 ft ",37 mph,Parque de Diversions,Operating,2005,Steel,Vekoma,Whirlwind,64 ft,2,Chain lift hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,,,,37.3 mph ,60.0 km/h,37.3,mph,37.3,64,ft,,2,
Sand Serpent,"1,213.9 ft ",28 mph ,Busch Gardens Tampa Bay,Operating,2004,Steel Wild Mouse,Mack Rides,Wild Maus,45.9 ft ,,Chain lift hill,,,,1:50,,,Werner Stengel,,,28 mph ,45 km/h,28,mph,28,45.9,ft,,0,
Wild Mouse (Lagoon),"1,213 ft",28 mph,Lagoon Amusement Park,Operating,1998,Steel Wild Mouse,Maurer AG,Wild Mouse,49.3 ft ,0,Chain,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:10,900 riders per hour,,Ing.-BÃ¼ro Stengel GmbH,46Â°,,28 mph ,45 km/h,28,mph,28,49.3,ft,,0,
The Dark Knight Coaster,"1,213 ft",30 mph ,Six Flags Great Adventure,Operating,2008,Steel Wild Mouse Enclosed,Mack Rides,"Wild Mouse (compact mobile, rev. 2)",45 ft,0,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,2:00,,,Werner Stengel,,,30 mph ,48 km/h,30,mph,30,45,ft,,0,
The Dark Knight Coaster,"1,213 ft",30 mph ,Six Flags Great America,Operating,2008,Steel Wild Mouse Enclosed,Mack Rides,"Wild Mouse (compact mobile, rev. 2)",45 ft,0,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,2:00,,,Werner Stengel,,,30 mph ,48 km/h,30,mph,30,45,ft,,0,
The Dark Knight Coaster,"1,213 ft",30 mph ,Six Flags Mexico,Operating,2009,Steel Wild Mouse Enclosed,Mack Rides,"Wild Mouse (compact mobile, rev. 2)",45 ft,0,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,2:00,,,Werner Stengel,,,30 mph ,48 km/h,30,mph,30,45,ft,,0,
Coast Rider,"1,339 ft",23 mph,Knott's Berry Farm,Operating,2013,Steel Wild Mouse,Mack Rides,Wild Mouse (large park),52 ft ,0,,,,The Boardwalk,2:30,,,,,,,,,,,52,ft,,0,
Apple Zapple (Kings Dominion),"1,312 ft",35 mph,Kings Dominion,Operating,2002,Steel Wild Mouse,Mack Rides,Wild Mouse / Large Park,52 ft ,0,Chain lift hill,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Candy Apple Grove,,960 riders per hour,,,,50Â ft (15Â m),35 mph ,56 km/h,35,mph,35,52,ft,,0,
Fønix (roller coaster),"2,969.2 ft",59 mph,Fårup Sommerland,Operating,2022,Steel,Vekoma,Wildcat,131.2 ft,3,Chain lift hill,"$100,000,000 DKK[1]",2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,900 riders per hour,4.1,Benjamin Bloemendaal,80Â°,,59 mph ,95 km/h,59,mph,59,131.2,ft,,3,4.1
Gotham City Gauntlet: Escape from Arkham Asylum,"1,213.9 ft ",28 mph ,Six Flags New England,Operating,2011,Steel Wild Mouse Family,Maurer AG,Wilde Maus Classic,49.25 ft ,0,,,,DC Universe,1:32,900 riders per hour,,Ingenieur Buro Stengel GmbH,46Â°,,28 mph ,45 km/h,28,mph,28,49.25,ft,,0,
Rattlesnake (roller coaster),"1,213 ft",28 mph,Chessington World of Adventures,Operating,1998,Steel Wild Mouse,Maurer AG,Wilde Maus Classic,49.25 ft ,0,Chain lift hill,,,Mexicana,,550 riders per hour,,Werner Stengel,,,28 mph ,45 km/h,28,mph,28,49.25,ft,,0,
FÄnix (roller coaster),"2,667 ft",59 mph,Toverland,Operating,2018,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,131 ft,3,Chain,"â‚¬13,000,000",2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Avalon,1:45,"1,000 riders per hour",5,,,,59 mph ,95 km/h,59,mph,59,131,ft,,3,5
GateKeeper (roller coaster),"4,164 ft ",67 mph ,Cedar Point,Operating,2013,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,170 ft,6,Chain lift hill,$30 million,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Lakeside Midway,2:40,"1,710 riders per hour",4[1],,,164Â ft (50Â m),67 mph ,108 km/h,67,mph,67,170,ft,,6,4
Parrot Coaster,"4,193 ft",67 mph ,Chime-Long Ocean Kingdom,Operating,2014,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,164.1 ft,3,Chain lift hill,,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Amazing Amazon,,,,,,,67 mph ,108 km/h,67,mph,67,164.1,ft,,3,
Raptor (Gardaland),"2,526.3 ft",56 mph,Gardaland,Operating,2011,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,108.3 ft,3,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,1 minute and 30 seconds,,,,65Â°,,90 km/h ,56 mph,90,km/h,55.9,108.3,ft,,3,
Thunderbird (Holiday World),"3,035 ft",60 mph,Holiday World & Splashin' Safari,Operating,2015,Steel Wing Coaster Launched,Bolliger & Mabillard,Wing Coaster,140 ft,4,LSM,$22 million,2 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Thanksgiving,1:18,"1,140 riders per hour",,,,,60 mph ,97 km/h,60,mph,60,140,ft,,4,
Wild Eagle,"3,127 ft ",61 mph,Dollywood,Operating,2012,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,210 ft,4,Chain lift hill,"$20,000,000($22.5Â million in 2020 dollars[1])",2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Wilderness Pass,2:22,,,,,135Â ft (41Â m),61 mph ,98 km/h,61,mph,61,210,ft,,4,
X-Flight (Six Flags Great America),"3,000 ft",55 mph,Six Flags Great America,Operating,2012,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,120 ft,5,Chain lift hill,$12â€“15 million[1],2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,County Fair,1:15,,,,,,55 mph ,89 km/h,55,mph,55,120,ft,,5,
Skyrush,"3,600 ft ",75 mph,Hersheypark,Operating,2012,Steel,Intamin,Wing Coaster,200 ft,0,Cable,"US$25,000,000",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,The Hollow,1:03,,5,Werner Stengel,85Â°,212Â ft (65Â m),75 mph ,121 km/h,75,mph,75,200,ft,,0,5
Furius Baco,"2,788.75 ft",83.9 mph,PortAventura Park,Operating,2007,Steel Launched,Intamin,Wing Rider Coaster Accelerator Coaster,46 ft ,1,Hydraulic Launch,"â‚¬15,000,000",3 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,MediterrÃ nia,55 sec.,,4.7,Werner Stengel,,,83.9 mph ,135.0 km/h,83.9,mph,83.9,46,ft,,1,4.7
High Roller (Valleyfair),"2,982 ft",50 mph,Valleyfair,Operating,1976,Wood,Rauenhorst Corporation,wood out-and-back,70 ft,0,chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:45,"1,150 riders per hour",3.2,National Amusement Devices,52Â°,56Â ft (17Â m),50 mph ,80 km/h,50,mph,50,70,ft,,0,3.2
American Eagle (roller coaster),"4,650 ft",66 mph,Six Flags Great America,Operating,1981,Wood Racing,Intamin,Wooden,127 ft,0,Chain,$10 million,4 2-Blue 2-Red trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,County Fair,2:23,1800 riders per hour,,Curtis D. SummersJames FigleyLeonard Wright,55Â°,147Â ft (44.8Â m),66 mph ,106.2 km/h,66,mph,66,127,ft,,0,
Hell Cat,"2,602 ft",56 mph,Clementon Amusement Park,Operating,2021,Wood,S&S Sansei Technologies,Wooden Coaster,110 ft,0,Chain lift hill,"$4,000,000 USD",,Hell Cat,1:30,2560 riders per hour,,,62Â°,105Â ft (32Â m),56 mph ,90 km/h,56,mph,56,110,ft,,0,
Zippin Pippin,"2,865 ft",40 mph ,Bay Beach Amusement Park,Operating,2011,Wood,The Gravity Group,Wooden Coaster,70 ft,,Chain lift hill,,,,1:58,,,John A. Miller,64Â°,70Â ft (21Â m),40 mph ,64 km/h,40,mph,40,70,ft,,0,
El Toro (Six Flags Great Adventure),"4,400 ft",70 mph,Six Flags Great Adventure,Opening in 2023,2006,Wood,Intamin,Wooden Coaster (Prefabricated Track),181 ft ,0,Cable lift hill,,2 trains with 6 cars. Riders are arranged 3 across in 2 rows for a total of 36 riders per train.,Plaza del Carnaval,1:42,1400[1] riders per hour,,Werner Stengel,76Â°,176Â ft (54Â m),70 mph ,110 km/h,70,mph,70,181,ft,,0,
Big Dipper (Blackpool Pleasure Beach),"3,300 ft",40 mph ,Blackpool Pleasure Beach,Operating,1923,Wood Out and back,William Strickler,Wooden Out and back coaster,65 ft,0,Chain,"Â£25,000 (1922)",2 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,2:28,,3.7,John A. Miller,46Â°,50Â ft (15Â m),40 mph ,64 km/h,40,mph,40,65,ft,,0,3.7
Wildcat (Frontier City),"2,653 ft",46 mph,Frontier City,Operating,1991,Wood,National Amusement Devices,Wooden roller coaster,75 ft ,,Chain lift hill,$2 million,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:10,,,Aurel VaszinEdward Leis,,65Â ft (20Â m),46 mph ,74 km/h,46,mph,46,75,ft,,0,
The Comet (Great Escape),"4,197 ft",55 mph,Great Escape,Operating,1994,Wood,Philadelphia Toboggan Coasters,Wooden track coaster,95 ft ,,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Fest Area,2:00,720 riders per hour,,Herbert Paul Schmeck,,87Â ft (27Â m),55 mph ,89 km/h,55,mph,55,95,ft,,0,
Hollywood Rip Ride Rockit,"3,800 ft",65 mph,Universal Studios Orlando,Operating,2009,Steel,Maurer AG,X-Car / Music,167 ft,0,Chain lift,"US$ 45,000,000[2]",7 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Production Central,1:39[3],"1,850 riders per hour",4.18[4],Universal Creative,,,65 mph ,105 km/h,65,mph,65,167,ft,,0,4.18
Formule X,"1,150 ft",45 mph,Drievliet Family Park,Operating,2007,Steel Launched,Maurer AG,XL 1000,50 ft ,2,LSM Launch,,,,27 sec.,650 riders per hour,,,,,45 mph ,72 km/h,45,mph,45,50,ft,,2,
Spider (roller coaster),"1,391.08 ft ",37.3 mph,Lagoon Amusement Park,Operating,2003,Steel Spinning,Maurer AG,Xtended SC 2000,50.83 ft,0,,"USD 3,000,000",8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:10,930 riders per hour,,,50Â°,,37.3 mph ,60.0 km/h,37.3,mph,37.3,50.83,ft,,0,
WhirlWind (Seabreeze),"1,391 ft ",37.3 mph ,Seabreeze Amusement Park,Operating,2004,Steel Spinning,Maurer AG,Xtended SC 2000,50.8 ft ,0,Chain,"$2,000,000 ",,,1:10,930 riders per hour,,Maurer SÃ¶hne,50Â°,,37.3 mph ,60.0 km/h,37.3,mph,37.3,50.8,ft,,0,
Dragon's Fury (roller coaster),"1,706 ft",,Chessington World of Adventures,Operating,2004,Steel Spinning,Maurer AG,Xtended SC 3000,50.8 ft ,0,2 Chain Lifts,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Land of the Dragons,,550 riders per hour,,,,,,,,,,50.8,ft,,0,
Winja's Fear & Force,"1,345.17 ft ",37.25 mph ,Phantasialand,Operating,2002,Steel Spinning Indoor,Maurer AG,Xtended SC 3000,57.08 ft ,,Elevator Lift,,,Wuze Town,,1440 riders per hour,,Werner Stengel,45Â°,,37.25 mph ,59.9 km/h,37.25,mph,37.2,57.08,ft,,0,
The Ride to Happiness,"3,018.4 ft",55.9 mph,Plopsaland De Panne,Operating,2021,Steel Spinning,Mack Rides,Xtreme Spinning Coaster,108.3 ft,6,Two LSM launches,"â‚¬17,500,000[1]",2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,700-800 riders per hour,,,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,108.3,ft,,6,
Time Traveler (roller coaster),"3,020 ft",50.3 mph,Silver Dollar City,Operating,2018,Steel Spinning Launched,Mack Rides,Xtreme Spinning Coaster,100 ft,3,Two LSM launches,$26 million($26.8Â million in 2020 dollars[1]),3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Valley Road,1:57,,,,90Â°,90Â ft (27Â m),50.3 mph ,81.0 km/h,50.3,mph,50.3,100,ft,,3,
Kirnu,465.11 ft ,37 mph ,Linnamonaki,Operating,2007,Steel 4th Dimension,Intamin,ZacSpin,83.4 ft,0,,About 3 million euros.,,,1:00,640 riders per hour,2.6,Werner Stengel,,,37 mph ,60 km/h,37,mph,37,83.4,ft,,0,2.6
American Dreier Looping,"3,444 ft",53 mph,Indiana Beach,Opening in 2023,2023,Steel,Anton Schwarzkopf,,111 ft ,3,Booster Wheel Lift Hill,,3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,"1,500 riders per hour",4.7,Werner Stengel,,,53 mph ,85 km/h,53,mph,53,111,ft,,3,4.7
American Thunder (roller coaster),"2,713 ft",48 mph,Six Flags St. Louis,Operating,2008,Wood,Great Coasters International,,82 ft ,0,Chain lift hill,"US$7,000,000",2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,1904 World's Fair,,850 riders per hour,,,,80Â ft (24Â m),48 mph ,77 km/h,48,mph,48,82,ft,,0,
Anaconda (Walygator Parc),"3,937 ft",56 mph,Walygator Parc,Operating,1989,Other,William Cobb,,118.1 ft,,,,,,2:10,,,,,,,,,,,118.1,ft,,0,
Apocalypse: The Ride,"2,877 ft",50.1 mph,Six Flags Magic Mountain,Operating,2009,Wood,Great Coasters International,,95 ft ,,Chain lift hill,"$10,000,000 ",2 trains with 11 cars. Riders are arranged 2 across in a single row for a total of 22 riders per train.,The Underground,3:00,1000 riders per hour,,Jeff Pike,,87.3Â ft (26.6Â m),50.1 mph ,80.6 km/h,50.1,mph,50.1,95,ft,,0,
Aquaman: Power Wave,708.7 ft,62.1 mph,Six Flags Over Texas,Operating,2023,Steel Shuttle Launched,Mack Rides,,146.3 ft,,LSM launch,,2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,USA,,731 riders per hour,,,90Â°,,62.1 mph ,99.9 km/h,62.1,mph,62.1,146.3,ft,,0,
Arkansas Twister,"3,340 ft",50 mph,Magic Springs and Crystal Falls,Operating,1978,Wood Out and back,Michael Black and Associates,,95 ft ,,Chain lift hill,$2.3 million,,,2:00[1],,,Don Rosser / Bill Cobb,45Â°,92Â ft (28Â m),50 mph ,80 km/h,50,mph,50,95,ft,,0,
Backlot Stunt Coaster,"1,960 ft",40 mph ,Canada's Wonderland,Operating,2005,Steel Launched,Premier Rides,,45.2 ft,0,LIM Launch Track,,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,1:04,1000 riders per hour,,Werner Stengel,,31.2Â ft (9.5Â m),40 mph ,64 km/h,40,mph,40,45.2,ft,,0,
Backlot Stunt Coaster,"1,960 ft",40 mph ,Kings Dominion,Operating,2006,Steel Launched,Premier Rides,,45.2 ft,0,LIM Launch Track,,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,1:04,1000 riders per hour,,Werner Stengel,,31.2Â ft (9.5Â m),40 mph ,64 km/h,40,mph,40,45.2,ft,,0,
Backlot Stunt Coaster,"1,960 ft",40 mph ,Kings Island,Operating,2005,Steel Launched,Premier Rides,,45.2 ft,0,LIM Launch Track,,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,1:04,1000 riders per hour,,Werner Stengel,,31.2Â ft (9.5Â m),40 mph ,64 km/h,40,mph,40,45.2,ft,,0,
Batman: The Ride (Six Flags Mexico),"2,260.5 ft",49.7 mph,Six Flags Mexico,Operating,2000,Steel Inverted,Vekoma,,109.3 ft,5,Chain lift hill,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:36,"1,040 riders per hour",,,,,49.7 mph ,80.0 km/h,49.7,mph,49.7,109.3,ft,,5,
Black Diamond (roller coaster),,,Knoebels Amusement Resort,Operating,2011,Steel Family Enclosed,Philadelphia Toboggan Coasters,,35 ft ,0,,$2.25 million,,,,,,John C. Allen,,,,,,,,35,ft,,0,
Blue Flyer,,,Blackpool Pleasure Beach,Operating,1934,Other,,,15 ft ,0,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Nickelodeon Land,1:00,,,Charlie Paige,,,,,,,,15,ft,,0,
Blue Streak (Cedar Point),"2,558 ft",40 mph ,Cedar Point,Operating,1964,Wood,Philadelphia Toboggan Coasters,,78 ft,0,Chain lift hill,"$200,000 ",2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Main Midway,1:45,"1,400 riders per hour",,Frank F. HooverJohn C. Allen,45Â°,72Â ft (22Â m),40 mph ,64 km/h,40,mph,40,78,ft,,0,
Boardwalk Bullet,"3,236 ft",51 mph ,Kemah Boardwalk,Operating,2007,Wood Twister,Martin & Vleminckx,,96 ft ,0,Chain Lift Hill,$3.044 million,,,1:45,800 riders per hour,3.5,"The Gravity Group, LLC",55Â°,92Â ft (28Â m),51 mph ,82 km/h,51,mph,51,96,ft,,0,3.5
BomBora (Lagoon),"1,040 ft",31 mph,Lagoon Amusement Park,Operating,2011,Steel,Lagoon,,45 ft,,,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Kiddie Land,,,,Art Engineering[1],,,31 mph ,50 km/h,31,mph,31,45,ft,,0,
Boulder Dash (roller coaster),"4,725 ft",60 mph,Lake Compounce,Operating,2000,Wood,Custom Coasters International,,110 ft,,Chain lift hill,"US$6,000,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:30,,,Dennis McNultyLarry Bill,59Â°,115Â ft (35Â m),60 mph ,97 km/h,60,mph,60,110,ft,,0,
Candymonium,"4,636 ft",76 mph,Hersheypark,Operating,2020,Steel,Bolliger & Mabillard,,210 ft,0,Chain Lift Hill,,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Chocolatetown,2:26,,,,77.3Â°,,76 mph ,122 km/h,76,mph,76,210,ft,,0,
Cannibal (roller coaster),"2,735 ft",70 mph,Lagoon Amusement Park,Operating,2015,Steel,Lagoon Corporation,,208 ft ,4,,$22 million,7[1] trains with a single car. Riders are arranged 4 across in 3 rows for a total of 12 riders per train.,North Midway,2:30,,4.2,Dal Freeman (Lagoon),116Â°,,70 mph ,110 km/h,70,mph,70,208,ft,,4,4.2
Cannon Ball (roller coaster),"2,272 ft",50 mph,Lake Winnepesaukah,Operating,1967,Wood,Philadelphia Toboggan Coasters,,70 ft,0,Chain lift hill,,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,1:32,,,John C. Allen,45Â°,70Â ft (21Â m),50 mph ,80 km/h,50,mph,50,70,ft,,0,
Canyon Blaster (Adventuredome),"2,423 ft",41 mph,Adventuredome,Operating,1993,Steel Indoor,Arrow Dynamics,,94 ft,4,Chain,,,2nd Level,1:30,,3.5,,53Â°,66Â ft (20Â m),41 mph ,66 km/h,41,mph,41,94,ft,,4,3.5
Cheetah Hunt,"4,429 ft",60 mph,Busch Gardens Tampa Bay,Operating,2011,Steel Launched,Intamin,,102 ft,1,LSM launch,,5 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Crown Colony Plaza,,,4,,,130Â ft (40Â m),60 mph ,97 km/h,60,mph,60,102,ft,,1,4
Cobra's Curse,"2,100 ft",40 mph ,Busch Gardens Tampa Bay,Operating,2015,Steel Spinning,Mack Rides,,70 ft,0,Elevator liftWheel lift,,8 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,Egypt,,1000 riders per hour,,,,,40 mph ,64 km/h,40,mph,40,70,ft,,0,
Comet (Hersheypark),"3,360 ft",50 mph,Hersheypark,Operating,1946,Wood,Philadelphia Toboggan Coasters,,84 ft,,Chain lift hill,,,The Hollow,1:45,950 riders per hour,,Herbert Paul Schmeck,47Â°,78Â ft (24Â m),50 mph ,80 km/h,50,mph,50,84,ft,,0,
Comet (Waldameer),"1,300 ft",25 mph,Waldameer Park,Operating,1951,Wood,Philadelphia Toboggan Coasters,,37 ft,0,Chain,,,,1:24,,,Herbert Paul Schmeck,,25Â ft (7.6Â m),25 mph ,40 km/h,25,mph,25,37,ft,,0,
Coney Island Cyclone,"2,640 ft",60 mph,Luna Park - Coney Island,Operating,1927,Other,,,85 ft,0,Chain-lift,"$175,000 ",,,2:30,1440 riders per hour,3.75,Vernon Keenan,58.1Â°,,60 mph ,97 km/h,60,mph,60,85,ft,,0,3.75
Corkscrew (Valleyfair),"1,950 ft",50 mph,Valleyfair,Operating,1980,Steel,Arrow Dynamics,,85 ft,3,Chain-lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,1300 riders per hour,3.5,,,,50 mph ,80 km/h,50,mph,50,85,ft,,3,3.5
Cornball Express,"2,100 ft",45 mph ,Indiana Beach,Operating,2001,Wood,Custom Coasters International,,55 ft,0,Chain,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,51 Seconds,,4.7,,,50Â ft (15Â m),45 mph ,72 km/h,45,mph,45,55,ft,,0,4.7
Cyclone (Lakeside Amusement Park),"2,800 ft",55 mph,Lakeside Amusement Park,Operating,1940,Wood,,,80 ft,0,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:00,"1,100 riders per hour",,Edward A. Vettel,50Â°,80Â ft (24Â m),55 mph ,89 km/h,55,mph,55,80,ft,,0,
Cyclops (roller coaster),"1,900 ft",58 mph,Mt. Olympus Water & Theme Park,Operating,1995,Wood,Custom Coasters International,,70 ft,,Chain,"$7,000,000 ",,,1:00,,4.2,"Dennis McNulty, Larry Bill",52Â°,75Â ft (23Â m),58 mph ,93 km/h,58,mph,58,70,ft,,0,4.2
